"SORTR","YEAR","Level","RESA_NAME","SYSTEMID","SYSTEMNAME","SCHOOLID","SCHOOLNAME","CATEGORY","SUBGROUP","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","PCT_ON_OR_ABOVE_MIDPOINT","LEXILE_BELOW_GRADE_LEVEL","PCT_BELOW_GRADELEVEL","LEXILE_ON_GRADELEVEL_BELOW_MIDPOINT","PCT_LEXILE_ON_GRADELEVEL_BELOW_MIDPOINT","LEXILE_ON_GRADELEVEL_ABOVE_MIDPOINT","PCT_LEXILE_ON_GRADELEVEL_ABOVE_MIDPOINT","LEXILE_ABOVE_GRADE_LEVEL","PCT_LEXILE_ABOVE_GRADE_LEVEL"
1,2018,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","137177","137177",75084,"54.7351",34892,"25.4358",27172,"19.808",20060,"14.6234",55025,"40.1124"
1,2018,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","134250","134250",62948,"46.8886",35003,"26.073",36244,"26.9974",32670,"24.3352",30279,"22.5542"
1,2018,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","125104","125104",81029,"64.7693",31895,"25.4948",12138,"9.7023",22757,"18.1905",58272,"46.5788"
1,2019,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","128859","128859",62261,"48.3172",29350,"22.7768",37207,"28.8742",32880,"25.5163",29381,"22.8009"
1,2019,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","135904","135904",81401,"59.896",31818,"23.4121",22655,"16.6699",24229,"17.828",57172,"42.0679"
1,2019,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","124136","124136",82636,"66.5689",31089,"25.0443",10394,"8.3731",19257,"15.5128",63379,"51.0561"
1,2021,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","97069","97069",42310,"43.5876",37124,"38.245",17633,"18.1654",18860,"19.4295",23451,"24.1591"
1,2021,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","96879","96879",52909,"54.6135",30777,"31.7685",13191,"13.616",21203,"21.8861",31706,"32.7274"
1,2021,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","82733","82733",46407,"56.0925",26583,"32.1311",9743,"11.7764",11742,"14.1926",34665,"41.8998"
1,2022,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","134164","134164",76459,"56.9892",39868,"29.7159",17836,"13.2942",19257,"14.3533",57202,"42.6359"
1,2022,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","122566","122566",53576,"43.712",44271,"36.1201",24717,"20.1663",27025,"22.0493",26551,"21.6626"
1,2022,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","125297","125297",66017,"52.6884",37900,"30.2481",21377,"17.0611",19369,"15.4585",46648,"37.2299"
1,2023,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","03","123867","123867",56992,"46.0106",40302,"32.5365",26567,"21.448",28700,"23.17",28292,"22.8406"
1,2023,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","08","133178","133178",77933,"58.5179",37993,"28.528",17248,"12.9511",18571,"13.9445",59362,"44.5734"
1,2023,"STATE Level","","ALL","Georgia","ALL","Georgia","All Students","All Students","05","126232","126232",67392,"53.3874",37190,"29.4616",21645,"17.147",19911,"15.7733",47481,"37.6141"
2,2018,"DISTRICT Level","Heart of Georgia RESA","612","Bleckley County","612","Bleckley County","All Students","All Students","05","171","171",101,"59.0643",28,"16.3743",42,"24.5614",24,"14.0351",77,"45.0292"
2,2018,"DISTRICT Level","Heart of Georgia RESA","612","Bleckley County","612","Bleckley County","All Students","All Students","08","177","177",141,"79.661",25,"14.1243",11,"6.2147",40,"22.5989",101,"57.0621"
2,2018,"DISTRICT Level","Okefenokee RESA","613","Brantley County","613","Brantley County","All Students","All Students","03","277","277",136,"49.0975",39,"14.0794",102,"36.8231",81,"29.2419",55,"19.8556"
2,2018,"DISTRICT Level","Okefenokee RESA","613","Brantley County","613","Brantley County","All Students","All Students","05","223","223",136,"60.9865",38,"17.0404",49,"21.9731",42,"18.8341",94,"42.1525"
2,2018,"DISTRICT Level","Okefenokee RESA","613","Brantley County","613","Brantley County","All Students","All Students","08","255","255",179,"70.1961",53,"20.7843",23,"9.0196",61,"23.9216",118,"46.2745"
2,2018,"DISTRICT Level","Northwest Georgia RESA","763","Bremen City","763","Bremen City","All Students","All Students","05","190","190",124,"65.2632",26,"13.6842",40,"21.0526",21,"11.0526",103,"54.2105"
2,2018,"DISTRICT Level","Northwest Georgia RESA","763","Bremen City","763","Bremen City","All Students","All Students","03","163","163",119,"73.0061",9,"5.5215",35,"21.4724",47,"28.8344",72,"44.1718"
2,2018,"DISTRICT Level","Northwest Georgia RESA","763","Bremen City","763","Bremen City","All Students","All Students","08","149","149",121,"81.2081",16,"10.7383",12,"8.0537",31,"20.8054",90,"60.4027"
2,2018,"DISTRICT Level","Oconee RESA","605","Baldwin County","605","Baldwin County","All Students","All Students","08","353","353",171,"48.4419",149,"42.2096",33,"9.3484",65,"18.4136",106,"30.0283"
2,2018,"DISTRICT Level","Oconee RESA","605","Baldwin County","605","Baldwin County","All Students","All Students","05","448","448",167,"37.2768",154,"34.375",127,"28.3482",78,"17.4107",89,"19.8661"
2,2018,"DISTRICT Level","Oconee RESA","605","Baldwin County","605","Baldwin County","All Students","All Students","03","435","435",129,"29.6552",187,"42.9885",119,"27.3563",77,"17.7011",52,"11.954"
2,2018,"DISTRICT Level","Pioneer RESA","606","Banks County","606","Banks County","All Students","All Students","03","197","197",99,"50.2538",47,"23.8579",51,"25.8883",54,"27.4112",45,"22.8426"
2,2018,"DISTRICT Level","Pioneer RESA","606","Banks County","606","Banks County","All Students","All Students","05","213","213",128,"60.0939",50,"23.4742",35,"16.4319",29,"13.615",99,"46.4789"
2,2018,"DISTRICT Level","Pioneer RESA","606","Banks County","606","Banks County","All Students","All Students","08","198","198",137,"69.1919",45,"22.7273",16,"8.0808",41,"20.7071",96,"48.4848"
2,2018,"DISTRICT Level","First District RESA","601","Appling County","601","Appling County","All Students","All Students","05","275","275",111,"40.3636",94,"34.1818",70,"25.4545",41,"14.9091",70,"25.4545"
2,2018,"DISTRICT Level","First District RESA","601","Appling County","601","Appling County","All Students","All Students","03","273","273",107,"39.1941",86,"31.5018",80,"29.304",63,"23.0769",44,"16.1172"
2,2018,"DISTRICT Level","First District RESA","601","Appling County","601","Appling County","All Students","All Students","08","249","249",138,"55.4217",78,"31.3253",33,"13.253",50,"20.0803",88,"35.3414"
2,2018,"DISTRICT Level","Okefenokee RESA","602","Atkinson County","602","Atkinson County","All Students","All Students","08","110","110",71,"64.5455",24,"21.8182",15,"13.6364",22,"20",49,"44.5455"
2,2018,"DISTRICT Level","Okefenokee RESA","602","Atkinson County","602","Atkinson County","All Students","All Students","05","125","125",66,"52.8",28,"22.4",31,"24.8",27,"21.6",39,"31.2"
2,2018,"DISTRICT Level","Okefenokee RESA","602","Atkinson County","602","Atkinson County","All Students","All Students","03","128","128",57,"44.5313",23,"17.9688",47,"36.7188",40,"31.25",17,"13.2813"
2,2018,"DISTRICT Level","Metro RESA","761","Atlanta Public Schools","761","Atlanta Public Schools","All Students","All Students","03","4724","4724",1898,"40.1778",1699,"35.9653",1127,"23.8569",938,"19.8561",960,"20.3218"
2,2018,"DISTRICT Level","Metro RESA","761","Atlanta Public Schools","761","Atlanta Public Schools","All Students","All Students","05","4344","4344",2014,"46.3628",1469,"33.8168",861,"19.8204",515,"11.8554",1499,"34.5074"
2,2018,"DISTRICT Level","Metro RESA","761","Atlanta Public Schools","761","Atlanta Public Schools","All Students","All Students","08","3304","3304",1825,"55.2361",1132,"34.2615",347,"10.5024",556,"16.8281",1269,"38.408"
2,2018,"DISTRICT Level","Okefenokee RESA","603","Bacon County","603","Bacon County","All Students","All Students","08","155","155",105,"67.7419",34,"21.9355",16,"10.3226",34,"21.9355",71,"45.8065"
